Watching for file changes with StatReloader
INFO 2021-08-31 22:48:04,468 basehttp 151664 140330660562496 "GET /accounts/login/?next=/accounts/login/ HTTP/1.1" 200 4679
INFO 2021-08-31 22:48:04,502 basehttp 151664 140330625943104 "GET /static/store/js/cart.js HTTP/1.1" 200 1540
INFO 2021-08-31 22:48:04,502 basehttp 151664 140330660562496 "GET /static/store/lib/fontawesome/css/all.min.css HTTP/1.1" 200 59344
INFO 2021-08-31 22:48:04,502 basehttp 151664 140330634335808 "GET /static/store/css/store.css HTTP/1.1" 200 2726
INFO 2021-08-31 22:48:04,641 basehttp 151664 140330660562496 "GET /static/store/lib/fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78196
WARNING 2021-08-31 22:48:04,660 log 151664 140330660562496 Not Found: /favicon.ico
WARNING 2021-08-31 22:48:04,660 basehttp 151664 140330660562496 "GET /favicon.ico HTTP/1.1" 404 3437
INFO 2021-08-31 22:48:08,666 basehttp 151664 140330660562496 "POST /accounts/login/ HTTP/1.1" 200 4820
INFO 2021-08-31 22:48:08,691 basehttp 151664 140330660562496 "GET /static/store/css/store.css HTTP/1.1" 304 0
INFO 2021-08-31 22:48:15,807 basehttp 151664 140330660562496 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2021-08-31 22:48:15,854 basehttp 151664 140330660562496 "GET /accounts/login/ HTTP/1.1" 200 4571
INFO 2021-08-31 22:48:15,897 basehttp 151664 140330660562496 "GET /static/store/css/store.css HTTP/1.1" 304 0
INFO 2021-08-31 22:49:03,873 basehttp 151664 140330660562496 "POST /accounts/login/ HTTP/1.1" 200 4712
INFO 2021-08-31 22:49:03,901 basehttp 151664 140330660562496 "GET /static/store/css/store.css HTTP/1.1" 304 0
INFO 2021-08-31 22:49:08,379 basehttp 151664 140330660562496 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2021-08-31 22:49:08,388 basehttp 151664 140330660562496 "GET / HTTP/1.1" 200 3073
INFO 2021-08-31 22:49:09,940 basehttp 151664 140330660562496 "GET /products/ HTTP/1.1" 200 26885
INFO 2021-08-31 22:49:10,739 basehttp 151664 140330660562496 "GET /products/2 HTTP/1.1" 200 4956
INFO 2021-08-31 22:49:12,271 basehttp 151664 140330660562496 "POST /update_item/ HTTP/1.1" 200 16
INFO 2021-08-31 22:49:12,291 basehttp 151664 140330660562496 "GET /products/2 HTTP/1.1" 200 4956
